book_id,title,published_dte
100,'The Way of Kings','2010-08-31'
101,'Words of Radiance','2014-03-04'
102,'Oathbringer','2017-11-14'
103,'Rhythm of War','2020-11-17'
104,'The Hobbit','1937-09-21'
105,'The Fellowship of the Ring','1954-07-29'
106,'The Two Towers','1954-11-11'
107,'The Return of the King','1955-10-20'
108,'Dune','1965-08-01'
109,'Dune Messiah','1969-01-01'
200,'A Memory of Light','2013-01-08'
